sample	corpusName	file	start	end	boundary	orthToken	lemma	wlsp	pSampleID	pStart	permalink
30-方丈	CHJ鎌倉_コア	4401_方丈記_S001_〔一〕ゆく河	3400	3420	I	いは	言う	2.3100	30-方丈1212_00001	3400	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00001,3400
30-方丈	CHJ鎌倉_コア	4401_方丈記_S001_〔一〕ゆく河	3700	3720	I	いへ	言う	2.3100	30-方丈1212_00001	3700	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00001,3700
30-方丈	CHJ鎌倉_コア	4401_方丈記_S001_〔一〕ゆく河	4010	4030	I	いへ	言う	2.3100	30-方丈1212_00001	4010	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00001,4010
30-方丈	CHJ鎌倉_コア	4401_方丈記_S003_〔三〕辻風	12140	12160	I	言ふ	言う	2.3100	30-方丈1212_00003	2520	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00003,2520
30-方丈	CHJ鎌倉_コア	4401_方丈記_S004_〔四〕都遷り	15200	15220	I	いふ	言う	2.3100	30-方丈1212_00004	1520	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00004,1520
30-方丈	CHJ鎌倉_コア	4401_方丈記_S005_〔五〕飢渇	34930	34950	I	いは	言う	2.3100	30-方丈1212_00005	11870	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00005,11870
30-方丈	CHJ鎌倉_コア	4401_方丈記_S006_〔六〕大地震	41470	41490	I	言ひ	言う	2.3100	30-方丈1212_00006	5650	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00006,5650
30-方丈	CHJ鎌倉_コア	4401_方丈記_S008_〔八〕わが過去	48030	48050	I	いへ	言う	2.3100	30-方丈1212_00008	1530	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00008,1530
30-方丈	CHJ鎌倉_コア	4401_方丈記_S009_〔九〕方丈	50690	50710	B	いは	言う	2.3100	30-方丈1212_00009	340	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00009,340
30-方丈	CHJ鎌倉_コア	4401_方丈記_S009_〔九〕方丈	51310	51330	I	いふ	言う	2.3100	30-方丈1212_00009	960	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00009,960
30-方丈	CHJ鎌倉_コア	4401_方丈記_S010_〔一〇〕境涯	55210	55230	B	いは	言う	2.3100	30-方丈1212_00010	1950	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E6%96%B9%E4%B8%881212_00010,1950
