jou	uji	pSampleID	pStart	permalink
桐壺	FALSE	20-源氏1010_00001	10	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,10
桐壺	FALSE	20-源氏1010_00001	620	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,620
桐壺	FALSE	20-源氏1010_00001	1020	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,1020
桐壺	FALSE	20-源氏1010_00001	1280	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,1280
桐壺	FALSE	20-源氏1010_00001	2410	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,2410
桐壺	FALSE	20-源氏1010_00001	2760	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,2760
桐壺	FALSE	20-源氏1010_00001	3970	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,3970
桐壺	FALSE	20-源氏1010_00001	5240	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,5240
桐壺	FALSE	20-源氏1010_00001	5640	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,5640
桐壺	FALSE	20-源氏1010_00001	6070	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,6070
桐壺	FALSE	20-源氏1010_00001	7220	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,7220
桐壺	FALSE	20-源氏1010_00001	7520	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,7520
桐壺	FALSE	20-源氏1010_00001	9680	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,9680
桐壺	FALSE	20-源氏1010_00001	10480	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,10480
桐壺	FALSE	20-源氏1010_00001	11190	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,11190
桐壺	FALSE	20-源氏1010_00001	11280	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,11280
桐壺	FALSE	20-源氏1010_00001	11770	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,11770
桐壺	FALSE	20-源氏1010_00001	13050	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,13050
桐壺	FALSE	20-源氏1010_00001	13890	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,13890
桐壺	FALSE	20-源氏1010_00001	14030	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,14030
桐壺	FALSE	20-源氏1010_00001	14610	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,14610
桐壺	FALSE	20-源氏1010_00001	15300	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,15300
桐壺	FALSE	20-源氏1010_00001	15810	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,15810
桐壺	FALSE	20-源氏1010_00001	16300	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,16300
桐壺	FALSE	20-源氏1010_00001	17280	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,17280
桐壺	FALSE	20-源氏1010_00001	17770	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,17770
桐壺	FALSE	20-源氏1010_00001	18240	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,18240
桐壺	FALSE	20-源氏1010_00001	20030	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,20030
桐壺	FALSE	20-源氏1010_00001	20400	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,20400
桐壺	FALSE	20-源氏1010_00001	20660	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,20660
桐壺	FALSE	20-源氏1010_00001	21080	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,21080
桐壺	FALSE	20-源氏1010_00001	21350	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,21350
桐壺	FALSE	20-源氏1010_00001	22780	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,22780
桐壺	FALSE	20-源氏1010_00001	23110	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,23110
桐壺	FALSE	20-源氏1010_00001	23930	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,23930
桐壺	FALSE	20-源氏1010_00001	24250	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,24250
桐壺	FALSE	20-源氏1010_00001	24790	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,24790
桐壺	FALSE	20-源氏1010_00001	25400	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,25400
桐壺	FALSE	20-源氏1010_00001	25830	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,25830
桐壺	FALSE	20-源氏1010_00001	26940	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,26940
桐壺	FALSE	20-源氏1010_00001	28140	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,28140
桐壺	FALSE	20-源氏1010_00001	28240	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,28240
桐壺	FALSE	20-源氏1010_00001	28600	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,28600
桐壺	FALSE	20-源氏1010_00001	29080	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,29080
桐壺	FALSE	20-源氏1010_00001	29270	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,29270
桐壺	FALSE	20-源氏1010_00001	29880	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,29880
桐壺	FALSE	20-源氏1010_00001	30470	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,30470
桐壺	FALSE	20-源氏1010_00001	30690	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,30690
桐壺	FALSE	20-源氏1010_00001	31020	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,31020
桐壺	FALSE	20-源氏1010_00001	31780	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,31780
桐壺	FALSE	20-源氏1010_00001	32310	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,32310
桐壺	FALSE	20-源氏1010_00001	32930	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,32930
桐壺	FALSE	20-源氏1010_00001	33400	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00001,33400
