register	pSampleID	pStart	boundary	surface	lexeme	lexemeBERT	permalink
平安-仮名文学	20-伊勢0920_00001	25240	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E4%BC%8A%E5%8B%A20920_00001,25240
平安-仮名文学	20-古今0906_00010	222220	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E5%8F%A4%E4%BB%8A0906_00010,222220
平安-仮名文学	20-堤中1055_00001	157350	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E5%A0%A4%E4%B8%AD1055_00001,157350
平安-仮名文学	20-大鏡1100_01026	336940	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E5%A4%A7%E9%8F%A11100_01026,336940
平安-仮名文学	20-大鏡1100_02002	581900	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E5%A4%A7%E9%8F%A11100_02002,581900
平安-仮名文学	20-大鏡1100_02006	759930	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E5%A4%A7%E9%8F%A11100_02006,759930
平安-仮名文学	20-大鏡1100_02010	1144110	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E5%A4%A7%E9%8F%A11100_02010,1144110
平安-仮名文学	20-枕草1001_00033	162420	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%9E%95%E8%8D%891001_00033,162420
平安-仮名文学	20-枕草1001_00038	215730	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%9E%95%E8%8D%891001_00038,215730
平安-仮名文学	20-枕草1001_00039	219130	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%9E%95%E8%8D%891001_00039,219130
平安-仮名文学	20-枕草1001_00085	443790	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%9E%95%E8%8D%891001_00085,443790
平安-仮名文学	20-枕草1001_00100	548100	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%9E%95%E8%8D%891001_00100,548100
平安-仮名文学	20-枕草1001_00127	661420	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%9E%95%E8%8D%891001_00127,661420
平安-仮名文学	20-枕草1001_00157	826490	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%9E%95%E8%8D%891001_00157,826490
平安-仮名文学	20-枕草1001_00181	897760	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%9E%95%E8%8D%891001_00181,897760
平安-仮名文学	20-枕草1001_00183	905760	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%9E%95%E8%8D%891001_00183,905760
平安-仮名文学	20-枕草1001_00211	981130	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%9E%95%E8%8D%891001_00211,981130
平安-仮名文学	20-枕草1001_00260	1153970	I	赤	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%9E%95%E8%8D%891001_00260,1153970
平安-仮名文学	20-枕草1001_00260	1172680	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%9E%95%E8%8D%891001_00260,1172680
平安-仮名文学	20-枕草1001_00267	1182220	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%9E%95%E8%8D%891001_00267,1182220
平安-仮名文学	20-枕草1001_00274	1208140	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%9E%95%E8%8D%891001_00274,1208140
平安-仮名文学	20-枕草1001_00310	1276960	B	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%9E%95%E8%8D%891001_00310,1276960
平安-仮名文学	20-源氏1010_00005	639680	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00005,639680
平安-仮名文学	20-源氏1010_00006	984160	B	赤から	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00006,984160
平安-仮名文学	20-源氏1010_00007	1079260	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00007,1079260
平安-仮名文学	20-源氏1010_00014	856670	I	あかく	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00014,856670
平安-仮名文学	20-源氏1010_00015	1043750	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00015,1043750
平安-仮名文学	20-源氏1010_00022	410800	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00022,410800
平安-仮名文学	20-源氏1010_00022	414350	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00022,414350
平安-仮名文学	20-源氏1010_00023	472040	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00023,472040
平安-仮名文学	20-源氏1010_00032	1308890	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00032,1308890
平安-仮名文学	20-源氏1010_00033	1445410	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00033,1445410
平安-仮名文学	20-源氏1010_00035	945510	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00035,945510
平安-仮名文学	20-源氏1010_00051	554930	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00051,554930
平安-仮名文学	20-源氏1010_00053	1172620	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E6%BA%90%E6%B0%8F1010_00053,1172620
平安-仮名文学	20-紫式1010_00001	110780	I	赤いろ	赤色	赤色	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E7%B4%AB%E5%BC%8F1010_00001,110780
平安-仮名文学	20-紫式1010_00001	139720	B	赤いろ	赤色	赤色	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E7%B4%AB%E5%BC%8F1010_00001,139720
平安-仮名文学	20-紫式1010_00001	196130	I	赤いろ	赤色	赤色	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E7%B4%AB%E5%BC%8F1010_00001,196130
平安-仮名文学	20-紫式1010_00001	225330	I	赤いろ	赤色	赤色	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E7%B4%AB%E5%BC%8F1010_00001,225330
平安-仮名文学	20-紫式1010_00001	228290	I	赤いろ	赤色	赤色	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E7%B4%AB%E5%BC%8F1010_00001,228290
平安-仮名文学	20-紫式1010_00001	341540	I	赤いろ	赤色	赤色	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E7%B4%AB%E5%BC%8F1010_00001,341540
平安-仮名文学	20-蜻蛉0974_00012	888420	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20-%E8%9C%BB%E8%9B%890974_00012,888420
和歌集	20W古今0905_09010	219140	I	あかき	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20W%E5%8F%A4%E4%BB%8A0905_09010,219140
和歌集	20W後撰0955_07007	157670	I	あかく	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=20W%E5%BE%8C%E6%92%B00955_07007,157670
鎌倉-日記・紀行	30-とは1306_05001	10600	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E3%81%A8%E3%81%AF1306_05001,10600
鎌倉-説話・随筆	30-今昔1100_11006	12680	B	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_11006,12680
鎌倉-説話・随筆	30-今昔1100_11025	1450	I	赤く	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_11025,1450
鎌倉-説話・随筆	30-今昔1100_12025	6430	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_12025,6430
鎌倉-説話・随筆	30-今昔1100_12025	6790	I	赤き	赤い	赤い	https://chunagon.ninjal.ac.jp/chj/permalink?unit=short&position=30-%E4%BB%8A%E6%98%941100_12025,6790
